Domain,In-demand Industry Skill,Demand Level,Source
Emerging Technologies,Sept 24,Very High,Draup–NASSCOM
Emerging Technologies,Oct 24,Very High,Draup–NASSCOM
Emerging Technologies,Nov 24,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Global AI Job Postings Timeline,Very High,Draup–NASSCOM
Emerging Technologies,SOUTH KOREA,Very High,Draup–NASSCOM
Emerging Technologies,Dec 2023 – Nov 2024 globally,Very High,Draup–NASSCOM
Emerging Technologies,Amazon Web,Moderate,Draup–NASSCOM
Cloud Computing,Service (AWS),Moderate,Draup–NASSCOM
Emerging Technologies,Amazon ML,Moderate,Draup–NASSCOM
Emerging Technologies,Launch of,Moderate,Draup–NASSCOM
Emerging Technologies,Alexa using,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,NLP and ML,Moderate,Draup–NASSCOM
Emerging Technologies,Whole Foods,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI in Grocery,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI teams,Moderate,Draup–NASSCOM
Emerging Technologies,Invested in,Moderate,Draup–NASSCOM
Emerging Technologies,Plans to,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Released AI-,Moderate,Draup–NASSCOM
Emerging Technologies,Thing Initiative”,Moderate,Draup–NASSCOM
Emerging Technologies,Change of,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"New AI Division created,",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Team,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI focus,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI in Siri,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Decade of AI,Moderate,Draup–NASSCOM
Emerging Technologies,Wave 2,Moderate,Draup–NASSCOM
Emerging Technologies,Introduced the,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Personalize AI,Moderate,Draup–NASSCOM
Emerging Technologies,Expansion of,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,FAIR to,Very High,Draup–NASSCOM
Emerging Technologies,"Paris, Seattle,",Very High,Draup–NASSCOM
Emerging Technologies,"Tel Aviv,",Very High,Draup–NASSCOM
Emerging Technologies,Companies like,Very High,Draup–NASSCOM
Software Engineering,Microsoft &,Very High,Draup–NASSCOM
Emerging Technologies,"Released PyTorch, an",Very High,Draup–NASSCOM
Emerging Technologies,Rebranded to,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Meta AI,Very High,Draup–NASSCOM
Emerging Technologies,Introduced its,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Google Brain,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Google AI,Very High,Draup–NASSCOM
Data Science & Analytics,Key focus on research capabilities,Very High,Draup–NASSCOM
Emerging Technologies,Including projects such as BERT,Very High,Draup–NASSCOM
Emerging Technologies,Merger of,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Brain with,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"AI, launching",Very High,Draup–NASSCOM
Emerging Technologies,Bard to,Very High,Draup–NASSCOM
Emerging Technologies,Top Markets,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Employing AI,Very High,Draup–NASSCOM
Emerging Technologies,Experience Split,Very High,Draup–NASSCOM
Emerging Technologies,Talent Demand,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Top Gen AI Roles,Very High,Draup–NASSCOM
Emerging Technologies,Hired in Tech in,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Solution,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,NLP Engineer,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Principal,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Research,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,GAI Cloud Solution,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Applied,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Architect,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Engineer,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Partner Engineer,Very High,Draup–NASSCOM
Software Engineering,Software Engineer,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Gen AI Intelligence,",Very High,Draup–NASSCOM
Emerging Technologies,Applied Research,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Computer Vision Gen AI,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI software,Very High,Draup–NASSCOM
Emerging Technologies,Quarterly Job,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI-related Patent,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,In-Demand AI Skills,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Processing (NLP),Very High,Draup–NASSCOM
Emerging Technologies,Generative Adversarial,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Machine Learning,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Integration and API,Very High,Draup–NASSCOM
Data Science & Analytics,Predictive Analytics,Very High,Draup–NASSCOM
Emerging Technologies,MLOps in Model,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Neural Networks,Very High,Draup–NASSCOM
Emerging Technologies,Quantum Algorithms,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,HQ AI Talent,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Non HQ AI Talent,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Global AI Talent Distribution,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Global AI Leadership Talent Distribution,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Global SVP/VP AI Talent Distribution,Moderate,Draup–NASSCOM
Data Science & Analytics,Apple combined its core ML and,Moderate,Draup–NASSCOM
Emerging Technologies,Google consolidated Google,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Research AI teams in 2024 -,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Microsoft AI CoE oversees AI,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Amazon's AI initiatives are,Moderate,Draup–NASSCOM
Software Engineering,Meta has developed a ML-Ops,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Developments – Big Tech Competitors,High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Implementation Overview,High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Composition of AI Teams,Very High,Draup–NASSCOM
Soft & Employability Skills,Leadership Roles,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"CDO, Chief AI Officer, AI Architect",Very High,Draup–NASSCOM
Emerging Technologies,Mid Level Roles,Very High,Draup–NASSCOM
Emerging Technologies,Early Career  Roles,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Talent Distribution across Seniority Level,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Talent Distribution by workload,Very High,Draup–NASSCOM
Software Engineering,MICROSOFT TEAM STUCTURE – ARTIFICIAL INTELLIGENCE,Moderate,Draup–NASSCOM
Emerging Technologies,Comparative Seniority Level,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Microsoft AI,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"CEO, Microsoft AI",Moderate,Draup–NASSCOM
Emerging Technologies,Global Level Roles,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Chief AI Officer,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Silicon,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Azure AI,Moderate,Draup–NASSCOM
Soft & Employability Skills,Country/Local Leadership Roles,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Sr. Director,, Microsoft AI",Moderate,Draup–NASSCOM
Emerging Technologies,"Principal Director,",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI & Copilot,Moderate,Draup–NASSCOM
Emerging Technologies,Head of Artificial Intelligence,Moderate,Draup–NASSCOM
Soft & Employability Skills,"Engineering Manager,",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Sr. Product Manager, AI",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Principal Product Manager, AI",Moderate,Draup–NASSCOM
Emerging Technologies,"Sr. Director, Engineering",Moderate,Draup–NASSCOM
Cloud Computing,"VP of Engineering, Azure",Moderate,Draup–NASSCOM
Data Science & Analytics,"Team Lead, Azure Infra - Data",Moderate,Draup–NASSCOM
Emerging Technologies,Principal Engineering,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Manager, Azure AI language",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Principal Director, AI Silicon",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Principal Manager, AI Silicon",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Manager, AI Silicon",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Global Director, Azure AI",Moderate,Draup–NASSCOM
Data Science & Analytics,"Principal Director, Data",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Global Director , AI",Moderate,Draup–NASSCOM
Emerging Technologies,Innovation & Technology,Moderate,Draup–NASSCOM
Emerging Technologies,Dynamics 365,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Microsoft  Dynamics 365 AI,Moderate,Draup–NASSCOM
Emerging Technologies,"Global Director,",Moderate,Draup–NASSCOM
Cloud Computing,Cloud Solution Architect -,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Sub-Teams,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Vice President, AI Silicon",Moderate,Draup–NASSCOM
Emerging Technologies,Engineering &,Moderate,Draup–NASSCOM
Data Science & Analytics,Data Science,Moderate,Draup–NASSCOM
Data Science & Analytics,Head of Data Science,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Manager, Data Science & AI",Moderate,Draup–NASSCOM
Data Science & Analytics,Global Head of Data Science,Moderate,Draup–NASSCOM
Data Science & Analytics,"Sr Director,  Data Science",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Senior Director, AI Silicon",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Director, Azure Data & AI",Moderate,Draup–NASSCOM
Data Science & Analytics,Principal Data Science,Moderate,Draup–NASSCOM
Soft & Employability Skills,"Manager, Copilot Dashboard",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Data Science & Generative AI,Moderate,Draup–NASSCOM
Soft & Employability Skills,Localised Managerial Roles,Moderate,Draup–NASSCOM
Software Engineering,Dynamics 365 Software,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Cognitive AI Consultant,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Gen AI Engineer /Open,Moderate,Draup–NASSCOM
Software Engineering,Microsoft Co-Pilot Lead,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Principal Engineer, AI",Moderate,Draup–NASSCOM
Data Science & Analytics,Data Architect/Solution,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Architect/Data Modeler- AI,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Data Scientist(Generative AI),Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Principal Engineer, AI Silicon",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Software Engineer, AI Silicon",Moderate,Draup–NASSCOM
Emerging Technologies,"Technology Consultant,",Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Software Engineer - AI Azure,Moderate,Draup–NASSCOM
Software Engineering,Compiler Development,Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Emerging Agentic/Copilot AI Roles,Moderate,Draup–NASSCOM
Cloud Computing,Azure Architect,Moderate,Draup–NASSCOM
Software Engineering,Localised Engineering/Development Roles,Moderate,Draup–NASSCOM
Emerging Technologies,Role Hierarchy – Booking Holdings,Very High,Draup–NASSCOM
Software Engineering,Microsoft Co-pilot/Agentic Roles – POV,Very High,Draup–NASSCOM
Emerging Technologies,"VP, Business Co-Pilot",Very High,Draup–NASSCOM
Emerging Technologies,"Director, Co-pilot Partnerships",Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,"Principal researcher, AI Agentic",Very High,Draup–NASSCOM
Soft & Employability Skills,"Engineering Manager, Business & Industry Co-pilot",Very High,Draup–NASSCOM
Cloud Computing,Cloud Solution Architect – Co-pilot,Very High,Draup–NASSCOM
Emerging Technologies,Co-pilot Technical Specialist,Very High,Draup–NASSCOM
Emerging Technologies,Co-pilot Change Consultant,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Skills/Competency High In-demand,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Skills/Competency across Talent Available,Very High,Draup–NASSCOM
Software Engineering,Microsoft 365 Copilot,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Azure OpenAI,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,AI Prompt Engineering,Very High,Draup–NASSCOM
Software Engineering,Microsoft Power Virtual Agents,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,LLM using Retrieval-augmented,Very High,Draup–NASSCOM
Emerging Technologies,Generation (RAG) architectures,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Natural Language Processing (NLP),Very High,Draup–NASSCOM
Emerging Technologies,Multi-agent systems,Very High,Draup–NASSCOM
Emerging Technologies,Agentic evaluation and tooling,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Machine Learning Algorithms,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Autonomous Systems Design of AI,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Research Intern – Conversational AI,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Top AI Copilot Roles High In-demand,Very High,Draup–NASSCOM
Cloud Computing,Cloud Solution Architect--MW-,Very High,Draup–NASSCOM
Emerging Technologies,Copilot Technology Specialist,Very High,Draup–NASSCOM
Soft & Employability Skills,Principal Product Manager -,Very High,Draup–NASSCOM
Software Engineering,Microsoft Copilot Studio,Very High,Draup–NASSCOM
Software Engineering,Software Engineer 2- Copilot iOS/,Very High,Draup–NASSCOM
Software Engineering,Mac OS Development,Very High,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Top AI Copilot Talent Available,Very High,Draup–NASSCOM
Soft & Employability Skills,Product Manager - M365 Copilot,Very High,Draup–NASSCOM
Emerging Technologies,Partner Incubation,Very High,Draup–NASSCOM
Emerging Technologies,Principal - Copilot for M365,Very High,Draup–NASSCOM
Emerging Technologies,Copilot Technical Specialist,Very High,Draup–NASSCOM
Emerging Technologies,Copilot Solution Specialist,Very High,Draup–NASSCOM
Emerging Technologies,Starting Roles,Moderate,Draup–NASSCOM
Emerging Technologies,Emerging End Role,Moderate,Draup–NASSCOM
Emerging Technologies,Engineer (1/2/3/4),Moderate,Draup–NASSCOM
Artificial Intelligence & Machine Learning,Deep Learning & Neural,Moderate,Draup–NASSCOM
Emerging Technologies,Multi-Modal Models,Moderate,Draup–NASSCOM
